Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính
SC6665,"MPN 90/4/25 (Thửa 632 - Tờ 12) Thạnh Xuân 51, P.Thạnh Xuân, Q.12, TP.HCM",2880000.0,41.14,Đất,4m,17m,Tây Bắc
SDHK65,"Thửa 785 - tờ 5 Thạnh Lộc 43, P.An Phú Đông, Q.12, TP.HCM",3750000.0,72.67,Đất,4.3m,12.05m,Tây Bắc
85GZ23,"Thửa 2392 - tờ 18 đường Thạnh Xuân 43, P.Thới An, Q.12, TP.HCM",4650000.0,55.55,Đất,4.1m,22.49m,Đông Bắc
7EPF8A,"18C Đường 439, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",4770000.0,5.95,Đất,,,Đông Bắc
WTG41R,"408/24 Hà Huy Giáp, P.Thạnh Lộc, Q.12, TP.HCM",29000000.0,37.76,Đất,16m,54m,Đông Nam
9M5UYP,"96 TCH 03, P.Tân Chánh Hiệp, Q.12, TP.HCM",7100000.0,60.37,Đất,,,Đông Nam
JRDJ0D,"Thửa 655 - Tờ 43 Bờ Xe Lam, Xã Tân Kiên, H.Bình Chánh, TP.HCM",8500000.0,30.27,Đất,8.11m,35.06m,Tây Nam
SC0MH5,"26 Hẻm 106, P.Tây Thạnh, Q.Tân Phú, TP.HCM",9200000.0,84.4,Đất,,,Tây Bắc
QHJBPU,"207 Nam Cao, P.Tân Phú, TP.Thủ Đức, TP.HCM",5010000.0,33.4,Đất,,,Tây
G1X7J2,"Nguyễn Thị Lắng, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",850.0,4.25,Đất,5m,39.99m,Đông Bắc
Q7V79U,"Thửa 659 - tờ 42 đường số 691, Xã Thái Mỹ, H.Củ Chi, TP.HCM",1220000.0,8.44,Đất,7m,18.25m,Đông Nam
YWCUMD,"1231/21/16 Tỉnh lộ 43, TP.Thủ Đức, TP.HCM",2000000.0,19.54,Đất,,,Bắc
8D7XB3,"Thửa 513 - Tờ 23 Thạnh Xuân 31, P.Thạnh Xuân, Q.12, TP.HCM",19500000.0,33.5,Đất,13m,50m,Tây
YEXGVD,"Thửa 508 - Tờ 44 hẻm Đường Vành Đai 4, Xã Nhuận Đức, H.Củ Chi, TP.HCM",8000000.0,2.6,Đất,32m,98m,Đông
3517YQ,"Vành Đai 3, Xã Bình Chánh, H.Bình Chánh, TP.HCM",2300000.0,25.55,Đất,5m,18m,
QKEYGU,"Nguyễn Thị Thử, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",2980000.0,30.1,Đất,8m,12m,Tây
YWFGCD,"Phan Văn Hớn, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4600000.0,45.09,Đất,9.5m,19m,Bắc
7KW1KA,"Nhị Bình 10A, Xã Nhị Bình, H.Hóc Môn, TP.HCM",8900000.0,16.12,Đất,31.83m,17.49m,Tây
PZ4W5G,"Đường Vạn Kiếp, P.1, Q.Bình Thạnh, TP.HCM",13500000.0,145.31,Đất,4.59m,23.16m,Nam
8DC1H3,"Thửa 686 - tờ 54 đường số 8, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",7300000.0,46.76,Đất,4.15m,37.66m,Tây Bắc
AE7MDY,"Thửa 1094 - Tờ 12 đường Cầu Ô Giá, Xã Thái Mỹ, H.Củ Chi, TP.HCM",1280000.0,2.12,Đất,31.63m,19.19m,Đông Nam
8SRDH3,"Võ Trần Chí, Xã Tân Nhựt, H.Bình Chánh, TP.HCM",3400000.0,26.98,Đất,7m,18m,
7EPNKA,"Hẻm 10 Lê Đức Thọ, P.15, Q.Gò Vấp, TP.HCM",6500000.0,59.78,Đất,,,Đông Nam
UK04ES,"1177 Lê Đức Thọ, P.13, Q.Gò Vấp, TP.HCM",111200000.0,115.34,Đất,,,Đông
6A4278,"74/7/8 Phan Đăng Lưu, P.05, Q.Phú Nhuận, TP.HCM",4200000.0,128.44,Đất,,,Tây Nam
K0ZNRC,"752 Trần Văn Mười, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4500000.0,40.9,Đất,5.54m,20m,Đông Bắc
67SBB8,"Thửa 528 - Tờ 49 Tổ 50, Khu phố 3, P.An Phú Đông, Q.12, TP.HCM",2400000.0,32.0,Đất,3.8m,19m,Bắc
3H4WUQ,"639 Nguyễn Thị Sóc, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4099999.9999999995,45.55,Đất,6m,16m,Đông
UC4H4S,"Nguyễn Thị Thử, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",2750000.0,27.22,Đất,5.5m,18m,Bắc
8YAY23,"Đường 40, KDC Vạn Phúc, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",65000000.0,241.99,Đất,12.78m,21.5m,Tây Nam
C4UD4B,"Thửa 621- tờ 50 Đường Võ Thị Thừa, P.An Phú Đông, Q.12, TP.HCM",5330000.0,48.89,Đất,5.02m,19.7m,Tây Bắc
AHAB9Y,"Thửa 535 - tờ số 6 tỉnh lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",28000000.0,7.13,Đất,23.54m,178.93m,Tây Nam
7D1FBA,"Thửa Số: 6, Tờ số: 90 Nguyễn Sỹ Sách, P.15, Q.Tân Bình, TP.HCM",12500000.0,130.0,Đất,4.82m,19.76m,Đông Bắc
7EP1DA,"109/1162/11 Hẻm 1264/78 Đường Lê Đức Thọ, P.13, Q.Gò Vấp, TP.HCM",7500000.0,78.78,Đất,,,Đông Nam
5Y4PC7,"Thửa 492 - tờ 95 Đường Nguyễn Văn Bá, P.Trường Thọ, TP.Thủ Đức, TP.HCM",14450000.0,120.41,Đất,7m,17.14m,Đông Bắc
74GRMA,"Thửa 462 - Tờ 23 An Điền, P.An Điền, TP.Bến Cát, Bình Dương",22000000.0,2.2,Đất,70m,170m,Tây Bắc
3HWDTQ,"Thửa 553 - Tờ 41 Cầu Đình, Long Phước, Q.9, TP.HCM",3400000.0,35.82,Đất,4.5m,21.5m,Tây Nam
SYK8J5,"C5-12-69 khu 50ha, Cát Lái, Q.2, TP.HCM",8000000.0,73.12,Đất,5m,21.87m,Đông Nam
E0P1Y4,"Thửa 652 - tờ 19 đường 218, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2650000.0,27.8,Đất,5m,19.21m,Tây Bắc
UYNE9S,"Thửa 664 - tờ 158 đường số 15, P.Linh Xuân, TP.Thủ Đức, TP.HCM",3650000.0,60.43,Đất,4.03m,15.25m,Tây Nam
DWZ8TH,"178/200 Bưng Ông Thoàn, TP.Thủ Đức, TP.HCM",5800000.0,67.75,Đất,,,Đông Bắc
8SEZV3,"Thửa 528 - tờ 47 Đường Tô Ngọc Vân, P.Thạnh Xuân, Q.12, TP.HCM",13900000.0,95.86,Đất,6m,24.2m,Đông Nam
QKHDXU,"Đông Hòa, Dĩ An, TP.HCM",3350000.0,31.01,Đất,4.4m,,
6Y3N68,"P.Đông Hòa, TP.Dĩ An, TP.HCM",3450000.0,47.26,Đất,5m,14.5m,
5B9VJ7,"TT.Hóc Môn, H.Hóc Môn, TP.HCM",1960000.0,16.82,Đất,,,Tây Bắc
PZFJ7G,"Thửa 1749 - tờ 14 TL29, P.An Phú Đông, Q.12, TP.HCM",6000000.0,71.94,Đất,4m,21m,Đông Bắc
87J5D3,"Thửa 700 - tờ 31 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",11000000.0,20.83,Đất,11.05m,50.51m,Đông
9T13HP,"Thửa 2113 - tờ 18 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",6000000.0,49.91,Đất,8m,16.27m,Đông Bắc
6S77Q8,"Thửa 1903 - tờ 22 Thới An 18, P.Thới An, Q.12, TP.HCM",5950000.0,64.95,Đất,4.01m,23m,Nam
SC0XD5,"8/34/5/6 TX40, P.Thạnh Xuân, Q.12, TP.HCM",4000000.0,49.87,Đất,,,Tây Nam
GMDXZ2,"Thửa 558 - tờ 8 Sông Lu, Xã Hòa Phú, H.Củ Chi, TP.HCM",1000000.0,9.89,Đất,5m,20.56m,Tây Nam
A4MPBY,"tỉnh 998, Phước Thuận, Xuyên Mộc, TP.HCM",12000000.0,12.17,Đất,22m,45m,
7K4GKA,"Thửa 770 - tờ 12 Thạnh Lộc 42, P.Thạnh Lộc, Q.12, TP.HCM",5000000.0,62.5,Đất,5m,16m,Tây Bắc
37YP4Q,"Thửa 972 - tờ 27 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",2300000.0,19.81,Đất,5.01m,23.7m,Tây Nam
6S5XW8,"Thửa 590 - Tờ 198 đường số 5, P.7, Q.8, TP.HCM",8000000.0,72.72,Đất,5m,22m,Tây Bắc
UAQ9JS,"Thửa 643-3 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",10000000.0,89.28,Đất,4m,28.34m,Tây
7H529A,"Thửa 643-2 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",9990000.0,90.0,Đất,4m,27.9m,Tây
KEGMFC,"Thửa 578 - Tờ 51 đường 152, Bình Mỹ, H.Củ Chi, TP.HCM",3000000.0,19.54,Đất,5m,30.87m,Đông
3A3PJQ,"Thửa 505 - tờ 67 ĐH508, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2200000.0,9.58,Đất,11m,20.92m,Đông
R2PGZJ,"Thửa 1589 - tờ 96 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",5700000.0,71.25,Đất,6.08m,13.1m,Đông Nam
5HP2K7,"Thửa 1112 - tờ 58 Thạnh Lộc 14, P.An Phú Đông, Q.12, TP.HCM",4000000.0,80.0,Đất,4.55m,11.02m,Đông Bắc
KFXVEC,"Thửa 1111 - tờ 58 Thạnh Lộc 14, P.An Phú Đông, Q.12, TP.HCM",4000000.0,80.0,Đất,4.58m,10.95m,Đông Bắc
7KG2SA,"Thửa 1110 - tờ 58 Thạnh Lộc 14, P.An Phú Đông, Q.12, TP.HCM",4000000.0,80.0,Đất,4.6m,10.89m,Đông Bắc
5HBUV7,"Thửa 172 - tờ 20 Trung An, TT.Củ Chi, H.Củ Chi, TP.HCM",7500000.0,8.31,Đất,10.5m,71.02m,Tây
ACDSCY,"MPN 50/50 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",12200000.0,54.24,Đất,5.26m,38.49m,Đông Nam
A32QYX,"Tam Đa, P.Trường Thạnh, TP.Thủ Đức, TP.HCM",5000000.0,62.5,Đất,6.1m,12.8m,
7H524A,"Thửa 643-1 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",15000000.0,89.82,Đất,5.16m,27.46m,Tây
RGA1EJ,"Thửa 825 - tờ 8 Sông Lu, Xã Hòa Phú, H.Củ Chi, TP.HCM",4000000.0,28.14,Đất,5.99m,23.65m,Đông Bắc
0T2ZU9,"Thửa 1521 - tờ 50 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",9500000.0,107.95,Đất,4.29m,13.73m,Bắc
AFERZY,"Nguyễn Văn Khạ, Xã Tân An Hội, H.Củ Chi, TP.HCM",5000000.0,11.62,Đất,,,Đông Nam
ACMM4Y,"Thửa 702 - tờ 14 Trung An, Xã Trung An, H.Củ Chi, TP.HCM",2800000.0,16.77,Đất,5m,34.41m,Tây Bắc
PNXQCG,"Thửa 602 - Tờ 7 đường số 5, Long Thạnh Mỹ, Q.9, TP.HCM",54000000.0,33.61,Đất,19.97m,87.04m,
3AX5YQ,"Thửa 935 - tờ 11 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",5950000.0,86.73,Đất,4.51m,18.18m,Đông Nam
CRCDDB,"Thửa 537 - tờ 17 Bà Thiên, Xã Nhuận Đức, H.Củ Chi, TP.HCM",1600000.0,12.18,Đất,5m,26.85m,Bắc
WPNPVR,"Thửa 1101 - tờ 85 Thạnh Xuân 24, P.Thới An, Q.12, TP.HCM",3650000.0,55.05,Đất,4.5m,15.35m,Tây Nam
UYA42S,"Thửa 615 - Tờ 7 đường số 6, Trường Thạnh, Q.9, TP.HCM",5050000.0,54.83,Đất,4m,22.4m,Bắc
37B5TQ,"Thửa 756 Tờ 9 Thới An 11, P.Thới An, Q.12, TP.HCM",4500000.0,54.74,Đất,4.92m,16.77m,
5HFMP7,"Phan Văn Hớn, P.Tân Thới Nhất, Q.12, TP.HCM",37000000.0,150.46,Đất,5.2m,33.63m,Tây Nam
R23NWJ,"Thửa 1109 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,65.5,Đất,4.4m,21.42m,Đông Nam
3AWH2Q,"Thửa 1108 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,64.3,Đất,4.43m,22.37m,Đông Nam
5K9BQ7,"Thửa 1104 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,56.81,Đất,4.22m,23.49m,Đông Nam
UDJHTS,"Thửa 1103 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,61.16,Đất,4.22m,25.01m,Đông Nam
DEBR0H,"Thửa 2484 - Tờ 18 Thạnh Xuân 38, P.Thạnh Xuân, Q.12, TP.HCM",4099999.9999999995,51.57,Đất,4m,19.87m,
8YWF23,"19 TA 11, P.Thới An, Q.12, TP.HCM",5000000.0,39.09,Đất,,,Tây Nam
KRU5FC,"578 Hoàng hữu nam, Tân Phú, Q.9, TP.HCM",18000000.0,121.45,Đất,12m,12m,
ACVNEY,"Thửa 588 -tờ 11 Giáp Hải, Xã Tân An Hội, H.Củ Chi, TP.HCM",3350000.0,20.04,Đất,6.75m,22.25m,Bắc
QADW8U,"Thửa 983 - Tờ 27 Thạnh Lộc 16, P.Thạnh Lộc, Q.12, TP.HCM",3500000.0,64.81,Đất,4.5m,10.45m,
UAF3RS,"Thửa 636 - tờ 40 Thạnh Lộc 03, P.An Phú Đông, Q.12, TP.HCM",4600000.0,66.37,Đất,4.2m,16.5m,Đông Nam
DBKJPH,"Thửa 693 - tờ 29 Trần Thị Cờ, P.Thới An, Q.12, TP.HCM",4200000.0,73.17,Đất,4m,14.5m,Bắc
KJN9DC,"40 Đường 409, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",2029999.9999999998,15.54,Đất,,,Đông Bắc
CF17RB,"Lê Văn Lương, P.Tân Phong, Q.7, TP.HCM",29000000.0,136.92,Đất,10m,21m,Đông Bắc
87NDU3,"Thửa 433 - tờ 9 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",4790000.0,50.79,Đất,5m,18.58m,Tây Nam
6SS328,"Thửa 599 - tờ 26 đường số 10, P.Tân Tạo A, Q.Bình Tân, TP.HCM",6050000.0,60.5,Đất,5m,20m,Đông Bắc
EP1PZ4,"49/1 TL 51, P.Thạnh Lộc, Q.12, TP.HCM",6730000.0,36.14,Đất,,,Tây Nam
SDB485,"Thạnh Xuân 52, P.Thới An, Q.12, TP.HCM",3100000.0,58.38,Đất,5.14m,10.36m,Đông Nam
37AMGQ,"Thửa 581 - Tờ 10 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",5350000.0,89.31,Đất,4m,14.74m,
9Z9RUP,"Thửa 939 - Tờ 1 Thạnh Lộc 15, P.An Phú Đông, Q.12, TP.HCM",3700000.0,59.67,Đất,4.91m,12.49m,
1U0RU6,"Thửa 540 - Tờ 36 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1550000.0,10.36,Đất,5m,29.94m,Tây
1UJPY6,"Thửa 824 - Tờ 32 đường 716, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",6500000.0,6.63,Đất,22m,43.41m,
ACZGBY,"Thửa 972 - tờ 47 Thạnh Lộc 15, P.An Phú Đông, Q.12, TP.HCM",3800000.0,54.2,Đất,4m,17.56m,Tây Bắc
85DZU3,"Thửa 636 - tờ 86 Thạnh Xuân 24, P.Thới An, Q.12, TP.HCM",3750000.0,71.42,Đất,4.04m,13.18m,Tây Bắc
UYK8GS,"198/12/40 Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",3950000.0,48.46,Đất,4m,22.59m,Đông Nam
3DSJJQ,"Trần Thị Dương, Dĩ An, Dĩ An, TP.HCM",9600000.0,25.73,Đất,9.9m,,
KR60QC,"Thửa 563 - tờ 11 Thạnh Lộc 37, P.Thạnh Lộc, Q.12, TP.HCM",7600000.0,52.85,Đất,5.76m,24.11m,Tây Nam
JZJDP0,"Thửa 505 - tờ 19 Ba Sa, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",2550000.0,8.23,Đất,5m,39.41m,Đông Nam
PNBTRG,"Nguyễn Du, P.7, Q.Gò Vấp, TP.HCM",4900000.0,124.61,Đất,4m,6.76m,Tây
UYP7RS,"Thửa 856 - tờ 28 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",5200000.0,38.29,Đất,4.8m,29.31m,Tây Nam
PN8N6G,"MPN 141/52/13 Thạnh Lộc 19, P.Thạnh Lộc, Q.12, TP.HCM",3650000.0,69.25,Đất,7.1m,7.87m,Đông Nam
QA7HMU,"Thửa 858 - Tờ 13 Thạnh Lộc 41, P.Thạnh Lộc, Q.12, TP.HCM",4200000.0,51.72,Đất,4m,19.92m,Tây Bắc
W0H6PR,"An Phú Đông 9, P.An Phú Đông, Q.12, TP.HCM",70000000.0,79.83,Đất,24.83m,38.86m,
KJXTBC,"3 Hẻm, P.17, Q.Gò Vấp, TP.HCM",8700000.0,76.65,Đất,,,Đông Nam
GVB562,"21E Đặng Công Bỉnh, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",20000000.0,22.82,Đất,16.193m,54.281m,Tây Bắc
1U5JJ6,"Thửa 594 - tờ 5 Sông Lu, Xã Hòa Phú, H.Củ Chi, TP.HCM",4500000.0,26.96,Đất,5m,34.26m,Tây Nam
6YQWB8,"23 Xóm Ga, Dĩ An, Dĩ An, TP.HCM",4099999.9999999995,41.0,Đất,4m,,
SHSTJ5,"Thửa 634 - tờ 196 Ba Sa, Xã Tân An Hội, H.Củ Chi, TP.HCM",2350000.0,22.08,Đất,5m,24.19m,Tây
UD9WBS,"Thửa 1647 - tờ 9 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",5500000.0,31.95,Đất,5.13m,34.65m,Đông Bắc
3YMR9Q,"Lê Hồng Phong, Tân Bình, Dĩ An, TP.HCM",3200000.0,45.71,Đất,4.4m,16m,Tây Bắc
Q5P69U,"Thửa 880 - Tờ 11 Thạnh Lộc 39, P.Thạnh Lộc, Q.12, TP.HCM",5450000.0,59.69,Đất,4m,22.9m,Tây Bắc
768XA8,"Trần Quốc Hoàn, P.13, Q.Tân Bình, TP.HCM",23000000.0,209.09,Đất,5m,22m,Bắc
C0UEZB,"Thửa 916 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",3550000.0,57.53,Đất,4.1m,15.49m,Tây Bắc
UKN54S,"Thửa 915 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",3550000.0,57.62,Đất,4.1m,15.47m,Tây Bắc
6AG3Y8,"Thửa 914 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",3480000.0,56.58,Đất,4.1m,15.43m,Tây Bắc
7C2J6A,"Thửa 1646 - tờ 9 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",5500000.0,31.51,Đất,5.05m,35.23m,Đông Bắc
CFKVMB,"Thửa 643-4 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",6500000.0,90.27,Đất,4m,18m,Tây
GNUYD2,"Thửa 1612 - tờ 12 Thạnh Lộc 42, P.An Phú Đông, Q.12, TP.HCM",5500000.0,53.86,Đất,4.51m,16m,Tây Bắc
ACX6JY,"Thửa 733 - tờ 110 Thạnh Xuân 14, P.Thới An, Q.12, TP.HCM",3750000.0,70.35,Đất,4m,13.36m,Tây Bắc
6S7N48,"Thửa 730 - tờ 34 Cầu Dây, Xã Hòa Phú, H.Củ Chi, TP.HCM",2350000.0,20.43,Đất,5m,23.32m,Tây Nam
JZW9U0,"Thửa 1107 - tờ 60 Thạnh Xuân 52, P.Thới An, Q.12, TP.HCM",3750000.0,49.4,Đất,8.55m,8.89m,Đông Bắc
KFPMJC,"Thửa 852 - tờ 19 Hiệp Thành 17, P.Hiệp Thành, Q.12, TP.HCM",6900000.0,65.96,Đất,4.02m,26.39m,Đông
37HJ7Q,"Thửa 856 - tờ 14 Thạnh Xuân 46, P.Thạnh Xuân, Q.12, TP.HCM",6500000.0,47.03,Đất,5m,27.77m,Tây Nam
2MVPSZ,"Thửa 534 - tờ 63 Thạnh Xuân 21, P.Thạnh Xuân, Q.12, TP.HCM",3750000.0,43.85,Đất,8.71m,14.82m,Tây Bắc
UYD1GS,"Thửa 562 - tờ 10 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",5350000.0,87.99,Đất,4m,15.37m,
1UQ8U6,"Thửa 1544 - Tờ 25 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",7300000.0,67.28,Đất,6.1m,17.88m,Đông Nam
K4G4UC,"168/45 Nguyễn Cư Trinh, P.Nguyễn Cư Trinh, Q.1, TP.HCM",19000000.0,270.9,Đất,6.02m,9.96m,Đông
8UEUA3,"Thửa 1732 - Tờ 12 đường TL 41, Thạnh Lộc, Q.12, TP.HCM",7160000.0,71.45,Đất,8.9m,12m,Đông Nam
E0EU94,"Thửa 624 - tờ 46 đường 490, Xã Phạm Văn Cội, H.Củ Chi, TP.HCM",2100000.0,9.34,Đất,5.33m,40.93m,Tây Bắc
GMTUF2,"Thửa 991 - tờ 41 Bàu Trâm, Xã Trung An, H.Củ Chi, TP.HCM",3250000.0,27.42,Đất,5m,23.97m,Bắc
DEZAVH,"Thửa 603 - tờ 72 Thạnh Xuân 25, P.Thới An, Q.12, TP.HCM",4850000.0,71.63,Đất,4m,17.01m,Tây
DERQ6H,"Thửa 608 - Tờ 41, 379/84A Thống Nhất, P.11, Q.Gò Vấp, TP.HCM",3950000.0,105.33,Đất,3m,12.76m,Tây
UYA74S,"Thửa 694 - Tờ 61 An Phú Đông 9, P.An Phú Đông, Q.12, TP.HCM",7500000.0,128.42,Đất,4m,14.76m,
C4ZZDB,"Thửa 817 - Tờ 40 đường TL 03, Thạnh Lộc, Q.12, TP.HCM",6300000.0,28.71,Đất,5.47m,28.73m,Đông Bắc
1UMRN6,"Thửa 692 - Tờ 7 Bưng Tràm, Xã Tân Thạnh Tây, H.Củ Chi, TP.HCM",3600000.0,3.5,Đất,16.2m,64m,Đông Nam
CWGVRB,"Thửa 686 - tờ 110 Tô Ký, Xã Bà Điểm, H.Hóc Môn, TP.HCM",4500000.0,42.25,Đất,5.65m,18.94m,Đông Bắc
QAKW1U,"Thửa 710 - tờ 78 Trần Quang Cơ, P.Tân Thới Hiệp, Q.12, TP.HCM",6600000.0,87.64,Đất,4.04m,18.5m,Tây Nam
CW61HB,"Thửa 503 - tờ 51 Thạnh Xuân 21, P.Thạnh Xuân, Q.12, TP.HCM",4300000.0,64.37,Đất,4m,16.7m,Tây Nam
7KRNCA,"88/89/17A (Thửa 356-7 - Tờ 2A) Nguyễn Văn Quỳ, P.Phú Thuận, Q.7, TP.HCM",5500000.0,55.0,Đất,5m,20m,Tây
