Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
PZF80G,"49A Lê Lai, P.12, Q.Tân Bình, TP.HCM",11900000.0,182.79,Nhà mặt tiền,4.6m,14.5m,Tây Bắc,5.0,4.0,4.0,65.10m²,211.70m²,3m,,
CWGAXB,"313 Nguyễn Thị Thập, P.Tân Phú, Q.7, TP.HCM",600000000.0,349.93,Nhà mặt tiền,27.71m,61.98m,Bắc,2.0,2.0,2.0,1714.60m²,,30m,,
PZV3AG,"Trường Chinh, P.Tân Thới Nhất, Q.12, TP.HCM",12500000.0,270.64,Nhà mặt tiền,3.8m,12.2m,Đông Bắc,3.0,3.0,3.0,46.50m²,172m²,,,Sổ riêng
DCWTPH,"Trường Chinh, P.13, Q.Tân Bình, TP.HCM",21000000.0,303.6,Nhà mặt tiền,21.55m,4.46m,Tây Nam,7.0,6.0,3.0,96.44m²,96.44m²,16m,,Sổ riêng
W0ZJNR,"Đường Số 10, P.13, Q.6, TP.HCM",15900000.0,211.72,Nhà mặt tiền,4m,23.6m,Đông Bắc,3.0,4.0,3.0,81.20m²,167.20m²,,,Sổ riêng
35PPMQ,"Đường Hà Bổng, P.Trung Mỹ Tây, Q.12, TP.HCM",6500000.0,91.54,Nhà mặt tiền,3.9m,20.29m,Đông Bắc,2.0,2.0,2.0,71m²,112.50m²,5m,,
PZ4B3G,"Phan Anh, P.Tân Thới Hòa, Q.Tân Phú, TP.HCM",13500000.0,170.45,Nhà mặt tiền,4m,20m,Tây Nam,5.0,4.0,4.0,79.20m²,302m²,14m,,Sổ riêng
8UE5K3,"236 Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",15300000.0,227.0,Nhà mặt tiền,4.25m,15.85m,Tây Nam,4.0,4.0,3.0,67.40m²,214.60m²,19.3m,,
6Q74D8,"Cao Văn Lầu, P.2, Q.6, TP.HCM",27000000.0,248.8,Nhà mặt tiền,3.68m,26.58m,Tây Nam,6.0,5.0,4.0,97.30m²,194.40m²,8m,,Sổ riêng
3SCGHQ,"29A Quốc Lộ 13, P.26, Q.Bình Thạnh, TP.HCM",45000000.0,0.12,Nhà mặt tiền,4.45m,38.45m,Đông,3.0,3.0,2.0,277m²,210.50m²,40m,,
C4SVQB,"Hồng Lạc, P.10, Q.Tân Bình, TP.HCM",12000000.0,201.34,Nhà mặt tiền,4m,15.1m,Đông Bắc,3.0,3.0,4.0,59.60m²,152.60m²,8m,Cơ bản,
6QB1R8,"32 Nguyễn Duy Cung, P.12, Q.Gò Vấp, TP.HCM",14000000.0,0.13,Nhà mặt tiền,3.95m,28.25m,Đông Bắc,4.0,4.0,3.0,113.40m²,198.60m²,4.85m,Cơ bản,
3SBVFQ,"đường Mai Xuân Thưởng, P.1, Q.6, TP.HCM",19000000.0,290.11,Nhà mặt tiền,4.3m,16m,Tây Nam,8.0,6.0,4.0,73.70m²,251m²,15m,Cơ bản,Sổ riêng
5YJDX7,"77 đường Phạm Phú Thứ, P.3, Q.6, TP.HCM",14000000.0,168.21,Nhà mặt tiền,3.9m,27.6m,Đông Bắc,7.0,5.0,4.0,108.83m²,194.89m²,,Cơ bản,
37BXCQ,"225 Bis - 227 Hai Bà Trung, P.Võ Thị Sáu, Q.3, TP.HCM",176000000.0,782.91,Nhà mặt tiền,8.48m,26.43m,Đông Bắc,6.0,8.0,3.0,224.80m²,663m²,30m,Cơ bản,
GTFK12,"59 Nguyễn Duy Cung, P.12, Q.Gò Vấp, TP.HCM",9200000.0,146.73,Nhà mặt tiền,4.15m,15m,Tây Nam,3.0,2.0,2.0,62.70m²,77.20m²,5m,,
3SVNMQ,"Huỳnh Khương An, P.5, Q.Gò Vấp, TP.HCM",12500000.0,198.09,Nhà mặt tiền,3.62m,15.68m,Tây Nam,4.0,5.0,4.0,63.10m²,183.60m²,7m,,
QH70DU,"92 Nguyễn Thị Ai, Xã Tân Xuân, H.Hóc Môn, TP.HCM",8500000.0,101.19,Nhà mặt tiền,4.11m,21.82m,Tây Bắc,4.0,5.0,4.0,81m²,175.60m²,,,
KE9XWC,"61 đường 105D Trịnh Quang Nghị, P.7, Q.8, TP.HCM",8600000.0,78.18,Nhà mặt tiền,5m,16m,Tây Bắc,4.0,4.0,4.0,110m²,285.60m²,10m,Cơ bản,
U7XDBS,"Nguyễn Văn Đậu, P.5, Q.Phú Nhuận, TP.HCM",26000000.0,251.93,Nhà mặt tiền,3.9m,24m,Đông Nam,3.0,3.0,4.0,103.20m²,253.40m²,12m,Cơ bản,
RGA7PJ,"02 Thạnh Lộc 39, P.An Phú Đông, Q.12, TP.HCM",6600000.0,107.14,Nhà mặt tiền,4m,15.4m,Tây Bắc,4.0,6.0,5.0,61.60m²,185.10m²,6m,Đầy đủ,Sổ riêng
6XTP8Y,"Huỳnh Văn Bánh, P.11, Q.Phú Nhuận, TP.HCM",14500000.0,0.42,Nhà mặt tiền,3.4m,11.4m,Bắc,3.0,4.0,4.0,34.10m²,114.20m²,5m,,
5SP27X,"67 số 29, P.Bình Trị Đông B, Q.Bình Tân, TP.HCM",14800000.0,126.8,Nhà mặt tiền,5m,20m,Đông Bắc,4.0,4.0,4.0,100m²,274.50m²,14m,Cơ bản,
6AR6J8,"Phạm Hữu Lầu, P.Phú Thuận, Q.7, TP.HCM",18900000.0,210.0,Nhà mặt tiền,5m,18m,Đông Bắc,3.0,5.0,4.0,90m²,90m²,14m,Đầy đủ,
SD3YU5,"29 Ngô Đức Kế, P.12, Q.Bình Thạnh, TP.HCM",12000000.0,152.86,Nhà mặt tiền,5m,15.5m,Tây,1.0,1.0,1.0,78.50m²,,8m,,
W926DR,"5A khu D Ngô Tất Tố, P.22, Q.Bình Thạnh, TP.HCM",5350000.0,130.17,Nhà mặt tiền,3.46m,11.85m,Đông Nam,1.0,1.0,2.0,41.10m²,67.67m²,2.4m,,
3D76TQ,"11A Lương Thế Vinh, P.Tân Thới Hòa, Q.Tân Phú, TP.HCM",14500000.0,233.26,Nhà mặt tiền,3.7m,16.7m,Đông,3.0,2.0,3.0,62.16m²,,,,
QK0S3U,"3 Hoa Cúc, P.7, Q.Phú Nhuận, TP.HCM",16500000.0,412.5,Nhà mặt tiền,5m,8m,Tây Nam,2.0,3.0,4.0,40m²,40m²,15m,Cơ bản,
AHAHRY,"157A đường số 11, P.Linh Xuân, TP.Thủ Đức, TP.HCM",18600000.0,99.73,Nhà mặt tiền,5m,42.4m,Đông,4.0,4.0,3.0,186.50m²,205m²,,,
YFG1CD,"Tân sơn nhì Tân Sơn Nhì, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",4650000.0,125.67,Nhà mặt tiền,4m,9.5m,Đông Nam,2.0,2.0,2.0,37m²,37m²,4m,Cơ bản,
AEU70Y,"34 Tăng Bạt Hổ, P.11, Q.Bình Thạnh, TP.HCM",16500000.0,351.06,Nhà mặt tiền,4.6m,20.5m,Nam,5.0,4.0,5.0,47m²,72m²,4m,Đầy đủ,
8UVXF3,"MPN 39A Gò Dưa, KP4, P.Tam Bình, TP.Thủ Đức, TP.HCM",12500000.0,136.16,Nhà mặt tiền,4.3m,18.08m,Đông Nam,4.0,5.0,4.0,91.80m²,21.50m²,6m,,
A4SFVY,"12A Đào Duy Từ, P.15, Q.Phú Nhuận, TP.HCM",10600000.0,265.66,Nhà mặt tiền,3.7m,10.8m,Đông Nam,6.0,7.0,4.0,39.90m²,163.10m²,8m,,
QDTV1U,"88A đường số 5, P.17, Q.Gò Vấp, TP.HCM",6600000.0,110.55,Nhà mặt tiền,3.63m,18.36m,Tây Bắc,3.0,2.0,3.0,59.70m²,97.20m²,6m,,
A4S0UY,"Ấp 101 Nam Thới 1, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",7990000.0,88.87,Nhà mặt tiền,5m,19m,Đông Nam,6.0,6.0,5.0,90m²,246m²,,,
QKBS0U,"đường Phan văn Hớn, P.Tân Thới Nhất, Q.12, TP.HCM",5100000.0,100.0,Nhà mặt tiền,4m,12.5m,Tây Nam,2.0,2.0,2.0,51m²,100m²,5m,Cơ bản,
0M1GV9,"67 Phan Văn Hớn, P.Tân Thới Nhất, Q.12, TP.HCM",5200000.0,77.61,Nhà mặt tiền,6m,16.4m,Nam,2.0,1.0,2.0,67m²,100m²,4m,Bàn giao thô,
QY1AQU,"122 đường số 2, P.16, Q.Gò Vấp, TP.HCM",2650000.0,157.08,Nhà mặt tiền,2.51m,6.72m,Tây,2.0,1.0,2.0,16.87m²,33.74m²,,,
5D61A7,"Đường Ao Đôi, Khu phố 10, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",16000000.0,103.89,Nhà mặt tiền,4.52m,34.62m,Tây Nam,3.0,2.0,3.0,154m²,227.70m²,12m,,
U739JS,"311K37 đường G, khu phố 1, P.An Phú, TP.Thủ Đức, TP.HCM",28000000.0,280.0,Nhà mặt tiền,5m,20m,Đông Bắc,4.0,4.0,4.0,100m²,206.10m²,6m,,
SBPMA5,"43 Lý Thường Kiệt, P.7, Q.10, TP.HCM",30500000.0,482.59,Nhà mặt tiền,3.8m,17m,Tây Nam,8.0,6.0,6.0,63.20m²,360.40m²,,,
SYKW35,"48 đường số 2, Cư xá Bình Thới, P.8, Q.11, TP.HCM",17700000.0,316.07,Nhà mặt tiền,4m,14m,Tây Bắc,4.0,3.0,3.0,56m²,166m²,8m,Cơ bản,Sổ riêng
65RSP8,"42A Nguyễn Văn Bứa, ấp 51, Xã Bà Điểm, H.Hóc Môn, TP.HCM",29700000.0,27.51,Nhà mặt tiền,20.2m,66.94m,Bắc,6.0,3.0,1.0,1079.50m²,139.50m²,14m,Bàn giao thô,
YBQ4ED,"44 đường số 2 - KDC Hương Lộ 5, P.An Lạc, Q.Bình Tân, TP.HCM",10000000.0,119.04,Nhà mặt tiền,6m,14m,Đông Nam,1.0,2.0,5.0,84m²,204.20m²,6m,,
E0CGH4,"34 đường số 8, Khu dân cư Cityland, P.10, Q.Gò Vấp, TP.HCM",25000000.0,250.0,Nhà mặt tiền,5m,20m,Đông,5.0,3.0,4.0,100m²,385.30m²,12m,Bàn giao thô,Sổ riêng
6AXQC8,"03 đường số 3, Khu nhà ở Hai Thành, P.Tân Tạo A, Q.Bình Tân, TP.HCM",13000000.0,76.56,Nhà mặt tiền,13.69m,12.1m,Bắc,4.0,5.0,4.0,169.80m²,313.80m²,,,
0NJBV9,"62 đường số 2, khu dân cư Vĩnh Lộc, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",11000000.0,110.0,Nhà mặt tiền,5m,20m,Tây,4.0,4.0,4.0,100m²,201.60m²,20m,,Sổ riêng
RZ752J,"68 số 8, P.An Khánh, TP.Thủ Đức, TP.HCM",22000000.0,239.13,Nhà mặt tiền,5m,18.5m,Đông Nam,4.0,3.0,3.0,92m²,92m²,6m,Cơ bản,
K0GSVC,"15 đường số 53, P.Hiệp Bình Chánh, TP.Thủ Đức, TP.HCM",12500000.0,82.78,Nhà mặt tiền,9.5m,16m,Đông,4.0,3.0,3.0,151m²,298m²,5m,Đầy đủ,Sổ riêng
3HB60Q,"38B17 Cây Keo, P.Tam Phú, TP.Thủ Đức, TP.HCM",10500000.0,116.66,Nhà mặt tiền,5m,18m,Đông Bắc,3.0,3.0,3.0,90m²,250m²,12m,Đầy đủ,
UKPHAS,"251 - 253 - 255 - 257 Thống Nhất, P.11, Gò Vấp, TP.HCM",160000000.0,202.42,Nhà mặt tiền,15m,49.94m,Đông Nam,4.0,4.0,4.0,790.40m²,,8.78m,,
W0G54R,"275 Hoàng Sa, P.Tân Định, Q.1, TP.HCM",15000000.0,414.82,Nhà mặt tiền,4.84m,8.16m,Đông Bắc,3.0,4.0,6.0,36.16m²,139.39m²,12m,,
6TUD8Y,"178 Tạ Uyên, P.7, Q.11, TP.HCM",26000000.0,373.67,Nhà mặt tiền,3.55m,19.6m,Tây,5.0,4.0,4.0,69.58m²,268.63m²,15m,Cơ bản,
G9BN2N,"Nguyễn Trãi, P.14, Q.5, TP.HCM",28000000.0,411.76,Nhà mặt tiền,4m,17m,,6.0,7.0,4.0,68m²,277m²,,,Sổ riêng
K59ZCJ,"số 15, P.An Phú, TP.Thủ Đức, TP.HCM",62000000.0,310.0,Nhà mặt tiền,10m,20m,Tây Bắc,4.0,5.0,3.0,200m²,277.30m²,8m,,
6SYS18,"117 Bình Thới, P.11, Q.11, TP.HCM",18000000.0,289.85,Nhà mặt tiền,3.8m,17m,Tây Bắc,3.0,2.0,2.0,62.10m²,,,,
PZSSUG,"70 Hòa Bình, P.5, Q.11, TP.HCM",14000000.0,201.72,Nhà mặt tiền,3.65m,19.7m,Tây Nam,2.0,2.0,2.0,69.40m²,119.70m²,15m,,
AH9WDY,"15 Nguyễn Thi, P.13, Q.5, TP.HCM",30000000.0,231.83,Nhà mặt tiền,3.7m,39.8m,Đông Nam,4.0,4.0,3.0,129.40m²,263.20m²,12m,,
13RKM6,"Nguyễn Trãi, P.2, Q.5, TP.HCM",72000000.0,735.44,Nhà mặt tiền,4.75m,21m,Đông Nam,12.0,15.0,9.0,97.90m²,703.80m²,20m,,
DYAKHF,"Phan Anh, P.Phú Thạnh, Q.Tân Phú, TP.HCM",9500000.0,133.8,Nhà mặt tiền,4.5m,24.31m,Tây,1.0,1.0,1.0,71m²,,,,
1NT36T,"Đặng Thúc Liêng, P.4, Q.8, TP.HCM",14000000.0,311.8,Nhà mặt tiền,5.48m,15.36m,Đông Bắc,3.0,3.0,4.0,44.90m²,180.50m²,5m,,
E5AV4W,"Nguyễn Thị Định, Thạnh Mỹ Lợi, Q.2, TP.HCM",32000000.0,185.18,Nhà mặt tiền,5m,23m,Đông Bắc,2.0,1.0,2.0,172.80m²,215m²,15m,,
SDKDN5,"314 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",5000000.0,29.3,Nhà mặt tiền,4.75m,35.22m,Tây Bắc,2.0,1.0,1.0,170.60m²,,10m,,
EJ0N54,"26 Chợ Lớn, P.11, Q.6, TP.HCM",25000000.0,190.83,Nhà mặt tiền,3.75m,17.3m,Nam,16.0,10.0,6.0,131m²,635.90m²,10m,,
02DSX9,"Lê Trực, P.1, Q.6, TP.HCM",19000000.0,212.52,Nhà mặt tiền,3.9m,23.93m,Đông Bắc,6.0,3.0,5.0,89.40m²,258.90m²,14m,,
UYHKQS,"4A Nghĩa Thục, P.5, Q.5, TP.HCM",12000000.0,186.33,Nhà mặt tiền,4m,16.1m,Bắc,2.0,3.0,3.0,64.40m²,115.13m²,,,
S1D75Y,"Kênh Tân Hóa, P.Hòa Thạnh, Q.Tân Phú, TP.HCM",82000000.0,92.9,Nhà mặt tiền,12.5m,25m,Đông Nam,1.0,1.0,2.0,882.60m²,745.90m²,15m,,
CW25ZB,"894 Trường Sa, P.13, Q.3, TP.HCM",31000000.0,418.91,Nhà mặt tiền,4.6m,17m,Tây Nam,10.0,11.0,6.0,74m²,220.50m²,,,
K4J9BC,"56 Trần Quý Khoách, P.Tân Định, Q.1, TP.HCM",72000000.0,600.0,Nhà mặt tiền,8m,15m,Bắc,5.0,6.0,7.0,120m²,680.22m²,,,
Q5VTAU,"115 Vĩnh Viễn, P.4, Q.10, TP.HCM",7500000.0,496.68,Nhà mặt tiền,3.6m,7.16m,Nam,3.0,3.0,3.0,15.10m²,52.10m²,8m,,Sổ riêng
CWR6ZB,"D6, Long Thạnh Mỹ, Q.9, TP.HCM",25000000.0,65.1,Nhà mặt tiền,16m,24m,Đông Bắc,4.0,4.0,4.0,384m²,349.70m²,11m,,
1QA5Q6,"147C Trần Quang Khải, P.Tân Định, Q.1, TP.HCM",19000000.0,453.46,Nhà mặt tiền,3.15m,12.8m,Bắc,3.0,3.0,4.0,41.90m²,133.50m²,8m,,
6QKW18,"222 Phùng Hưng, P.14, Q.5, TP.HCM",20000000.0,243.01,Nhà mặt tiền,4.2m,19.6m,Tây,1.0,2.0,3.0,82.30m²,,12m,,
SA2KE5,"15 Phan Tôn, Đa Kao, Q.1, TP.HCM",15500000.0,280.28,Nhà mặt tiền,4m,13.96m,Tây Bắc,2.0,1.0,2.0,55.30m²,110.60m²,4m,,
85QTK3,"122 - 122A Nguyễn Xí, P.26, Q.Bình Thạnh, TP.HCM",65000000.0,625.6,Nhà mặt tiền,7m,20.8m,Tây Nam,8.0,8.0,8.0,103.90m²,636.60m²,,,
6UADU8,"15–17 Sông Thao, P.2, Q.Tân Bình, TP.HCM",62000000.0,304.54,Nhà mặt tiền,11m,20m,Tây Bắc,7.0,4.0,4.0,203.58m²,479.03m²,4m,,
AH53KY,"Nguyễn Xí, P.13, Q.Bình Thạnh, TP.HCM",12000000.0,300.0,Nhà mặt tiền,4.2m,18.87m,Tây,1.0,1.0,1.0,40m²,,15m,,
8UXRH3,"Đỗ Nhuận, P.Sơn Kỳ, Q.Tân Phú, TP.HCM",3950000.0,182.87,Nhà mặt tiền,3m,7.8m,Đông Bắc,1.0,2.0,2.0,21.60m²,,8m,,
UY350S,"đường D6, P.Tân Phú, Q.7, TP.HCM",17900000.0,198.88,Nhà mặt tiền,5m,18m,Tây Bắc,6.0,7.0,5.0,90m²,238.90m²,14m,Đầy đủ,
RGG66J,"37 Hưng Phú, P.8, Q.8, TP.HCM",14300000.0,244.86,Nhà mặt tiền,4.45m,12.28m,Tây Bắc,1.0,1.0,1.0,58.40m²,58.40m²,,,
SD70H5,"382EF Trần Hưng Đạo, P.11, Q.5, TP.HCM",58000000.0,494.88,Nhà mặt tiền,7.84m,16m,Nam,5.0,5.0,5.0,117.20m²,,,,
8SQP73,"216 Mai Xuân Thưởng, P.2, Q.6, TP.HCM",33000000.0,330.06,Nhà mặt tiền,6.04m,18.54m,Tây,21.0,21.0,6.0,99.98m²,428.60m²,20m,,Sổ riêng
U7XGDS,"đường C12, P.13, Q.Tân Bình, TP.HCM",35000000.0,354.68,Nhà mặt tiền,4.98m,19.93m,Tây Bắc,2.0,2.0,2.0,98.68m²,98.79m²,20m,,
0GAWD9,"Đoàn Văn Bơ, P.16, Q.4, TP.HCM",6000000.0,218.18,Nhà mặt tiền,3.57m,8.03m,Đông Bắc,3.0,3.0,4.0,27.50m²,,3.5m,,
92NH9P,"39 Phạm Đôn, P.11, Q.5, TP.HCM",16500000.0,221.29,Nhà mặt tiền,3.8m,20.3m,Đông Bắc,8.0,3.0,3.0,74.56m²,161.80m²,12m,,Sổ riêng
WF2AR9,"Đường 102, P.Tăng Nhơn Phú A, TP.Thủ Đức, TP.HCM",7800000.0,110.32,Nhà mặt tiền,4.5m,15m,Tây Nam,5.0,3.0,3.0,70.70m²,,,,
AHRFBY,"15 Đỗ Nhuận, Sơn Kỳ, Q.Tân Phú, TP.HCM",11000000.0,268.49,Nhà mặt tiền,3.94m,14m,Tây,1.0,1.0,4.0,44.60m²,175.20m²,10m,,Sổ riêng
RG1QNJ,"770 Trường Sa, P.14, Q.3, TP.HCM",27000000.0,0.0,Nhà mặt tiền,5.8m,11.5m,Tây Nam,3.0,2.0,2.0,59.17m²,71.99m²,13m,,Sổ riêng
6SV1X8,"1 đường số 7, Phú Hữu, Q.9, TP.HCM",43000000.0,133.54,Nhà mặt tiền,10.8m,25.42m,Tây Bắc,5.0,6.0,4.0,322m²,379.50m²,14m,,
EJ08K4,"457 Hoàng Hữu Nam, Long Bình, Q.9, TP.HCM",25000000.0,111.11,Nhà mặt tiền,6.17m,37.85m,Đông Nam,5.0,2.0,1.0,225m²,172.30m²,15m,,
490GXF,"17 Đặng Dung, P.Tân Định, Q.1, TP.HCM",23000000.0,353.3,Nhà mặt tiền,4m,16.37m,Đông Bắc,5.0,5.0,5.0,65.10m²,239.90m²,4m,,
YKSFKD,"Mai Thị Lựu, P.Đa Kao, Q.1, TP.HCM",75000000.0,497.01,Nhà mặt tiền,8.2m,18.5m,Đông Bắc,3.0,4.0,4.0,150.90m²,467.80m²,12m,,
Q5JG4U,"440 Sư Vạn Hạnh, P.9, Q.10, TP.HCM",15000000.0,265.48,Nhà mặt tiền,4.3m,14.15m,Tây Nam,3.0,3.0,4.0,56.50m²,194.90m²,16m,,
5YGYG7,"693 QL50, Xã Bình Hưng, H.Bình Chánh, TP.HCM",17000000.0,0.0,Nhà mặt tiền,4.1m,33m,Tây,1.0,1.0,1.0,129.60m²,,20m,,
PNXUBG,"166 Mạc Vân, P.Xóm Củi, Q.8, TP.HCM",7500000.0,163.75,Nhà mặt tiền,3.07m,14.18m,Đông Bắc,2.0,2.0,3.0,45.80m²,126m²,,,
SAH435,"đường số 1, Long Trường, Q.9, TP.HCM",16000000.0,72.72,Nhà mặt tiền,11.25m,22.35m,Bắc,3.0,2.0,1.0,214m²,154m²,10m,Cơ bản,Sổ riêng
DNRUHF,"12 Ông Ích Khiêm, P.14, Q.11, TP.HCM",13000000.0,154.94,Nhà mặt tiền,2.4m,28.9m,Tây Nam,6.0,5.0,4.0,83.90m²,256.10m²,15m,Cơ bản,
6VN98Y,"Ông Ích Khiêm, P.14, Q.11, TP.HCM",12500000.0,376.5,Nhà mặt tiền,3.5m,11.2m,Bắc,3.0,4.0,4.0,33.20m²,121.80m²,25m,Cơ bản,Sổ riêng
8S7KT3,"247 Âu Dương Lân, P.Hưng Phú, Q.8, TP.HCM",22000000.0,274.65,Nhà mặt tiền,5.83m,14.27m,Tây Nam,4.0,4.0,5.0,80.10m²,230.80m²,20m,,
6QGWN8,"138 đường HT35, P.Hiệp Thành, Q.12, TP.HCM",6500000.0,64.35,Nhà mặt tiền,4m,17.18m,Tây Nam,4.0,3.0,2.0,101m²,,6m,,
13YRB6,"31 Nguyễn Văn Mai, Võ Thị Sáu, Q.3, TP.HCM",40000000.0,368.92,Nhà mặt tiền,5.3m,23.7m,Tây Bắc,10.0,9.0,7.0,94.80m²,480.30m²,5m,,Sổ riêng
0ZP3B9,"87 Cộng Hoà, P.4, Q.Tân Bình, TP.HCM",42000000.0,396.97,Nhà mặt tiền,4.1m,25.8m,Bắc,8.0,8.0,8.0,105.80m²,,,,
UYB1JS,"252 Lý Chính Thắng, P.9, Q.3, TP.HCM",22000000.0,287.95,Nhà mặt tiền,7.49m,10.28m,Đông Bắc,1.0,1.0,1.0,76.40m²,72.28m²,5m,,
9T2F6P,"25 Trần Phú, P.4, Q.5, TP.HCM",8700000.0,437.18,Nhà mặt tiền,3.95m,10.7m,Tây Bắc,1.0,1.0,2.0,19.90m²,39.80m²,,,
